Time (sec),SetpointLivingZone,Text.T
949500,16,4.56667
950400,16,4.56
951300,16,4.55333
952200,16,4.54667
953100,16,4.54
954000,16,4.53333
954900,16,4.52667
955800,16,4.52
956700,16,4.51333
957600,16,4.50667
958500,16,4.5
959400,16,4.49333
960300,16,4.48667
961200,16,4.48
962100,16,4.47333
963000,16,4.46667
963900,16,4.46
964800,16,4.45333
965700,16,4.44667
966600,16,4.44
967500,16,4.43333
968400,16,4.42667
969300,16,4.42
970200,16,4.41333
971100,16,4.40667
972000,16,4.4
972900,16,4.39333
973800,16,4.38667
974700,16,4.38
975600,21,4.37333
976500,21,4.36667
977400,21,4.36
978300,21,4.35333
979200,21,4.34667
980100,21,4.34
981000,21,4.33333
981900,21,4.32667
982800,21,4.32
983700,21,4.31333
984600,21,4.30667
985500,21,4.3
986400,21,4.29333
987300,21,4.28667
988200,21,4.28
989100,21,4.27333
990000,21,4.26667
990900,21,4.26
991800,21,4.25333
992700,21,4.24667
993600,21,4.24
994500,21,4.23333
995400,21,4.22667
996300,21,4.22
997200,21,4.21333
998100,21,4.20667
999000,21,4.2
999900,21,4.19333
1000800,21,4.18667
1001700,21,4.18
1002600,21,4.17333
1003500,21,4.16667
1004400,21,4.16
1005300,21,4.15333
1006200,21,4.14667
1007100,21,4.14
1008000,21,4.13333
1008900,21,4.12667
1009800,21,4.12
1010700,21,4.11333
1011600,21,4.10667
1012500,21,4.1
1013400,21,4.09333
1014300,21,4.08667
1015200,21,4.08
1016100,21,4.07333
1017000,21,4.06667
1017900,21,4.06
1018800,21,4.05333
1019700,21,4.04667
1020600,21,4.04
1021500,21,4.03333
1022400,21,4.02667
1023300,21,4.02
1024200,21,4.01333
1025100,21,4.00667
1026000,21,4
1026900,21,3.99333
1027800,21,3.98667
1028700,16,3.98
1029600,16,3.97333
1030500,16,3.96667
1031400,16,3.96
1032300,16,3.95333
1033200,16,3.94667
1034100,16,3.94
1035000,16,3.93333
1035900,16,3.92667
1036800,16,3.92
1037700,16,3.91333
1038600,16,3.90667
1039500,16,3.9
1040400,16,3.89333
1041300,16,3.88667
1042200,16,3.88
1043100,16,3.87333
1044000,16,3.86667
1044900,16,3.86
1045800,16,3.85333
1046700,16,3.84667
1047600,16,3.84
1048500,16,3.83333
1049400,16,3.82667
1050300,16,3.82
1051200,16,3.81333
1052100,16,3.80667
1053000,16,3.8
1053900,16,3.79325
1054800,16,3.78634
1055700,16,3.77927
1056600,16,3.77206
1057500,16,3.7647
1058400,16,3.7572
1059300,16,3.74957
1060200,16,3.74181
1061100,16,3.73393
1062000,21,3.72593
1062900,21,3.71782
1063800,21,3.7096
1064700,21,3.70128
1065600,21,3.69287
1066500,21,3.68438
1067400,21,3.67579
1068300,21,3.66713
1069200,21,3.6584
1070100,21,3.6496
1071000,21,3.64074
1071900,21,3.63182
1072800,21,3.62286
1073700,21,3.61385
1074600,21,3.6048
1075500,21,3.59572
1076400,21,3.58661
1077300,21,3.57748
1078200,21,3.56833
1079100,21,3.55917
1080000,21,3.55
1080900,21,3.54083
1081800,21,3.53167
1082700,21,3.52253
1083600,21,3.51339
1084500,21,3.50428
1085400,21,3.4952
1086300,21,3.48615
1087200,21,3.47714
1088100,21,3.46817
1089000,21,3.45926
1089900,21,3.4504
1090800,21,3.4416
1091700,21,3.43287
1092600,21,3.42421
1093500,21,3.41563
1094400,21,3.40713
1095300,21,3.39872
1096200,21,3.3904
1097100,21,3.38218
1098000,21,3.37407
1098900,21,3.36608
1099800,21,3.35819
1100700,21,3.35043
1101600,21,3.3428
1102500,21,3.3353
1103400,21,3.32794
1104300,21,3.32072
1105200,21,3.31366
1106100,21,3.30675
1107000,21,3.3
